"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 08:51:48 GMT 2024","Mon Jun 10 08:51:49 GMT 2024","890","Auth","Onboarding","Password","","","Create Password - Valid",""
"passed","Mon Jun 10 08:51:55 GMT 2024","Mon Jun 10 08:51:55 GMT 2024","160","Vendor","Fetch Vendors","","","","Fetch Vendors by name",""
"passed","Mon Jun 10 08:52:07 GMT 2024","Mon Jun 10 08:52:07 GMT 2024","134","Address","Fetch Addresses","","","","Fetch Addresses - No Auth",""
"passed","Mon Jun 10 08:51:54 GMT 2024","Mon Jun 10 08:51:54 GMT 2024","131","Meals","Add to Favourites","","","","No Auth - Add to Favorites",""
"passed","Mon Jun 10 08:51:53 GMT 2024","Mon Jun 10 08:51:53 GMT 2024","168","Meals","Fetch Meals Categories","","","","Fetch Categories - Valid",""
"passed","Mon Jun 10 08:51:47 GMT 2024","Mon Jun 10 08:51:47 GMT 2024","169","Auth","Onboarding","Signup > Phone Number","","","Signup - Valid",""
"passed","Mon Jun 10 08:51:59 GMT 2024","Mon Jun 10 08:51:59 GMT 2024","167","User","Change Password","","","","Change Password - No confirmPassword",""
"passed","Mon Jun 10 08:51:59 GMT 2024","Mon Jun 10 08:52:00 GMT 2024","520","User","Change Password","","","","Change Password - Invalid oldPassword",""
"passed","Mon Jun 10 08:52:07 GMT 2024","Mon Jun 10 08:52:07 GMT 2024","137","Misc","Get Config","","","","Get Config -No Auth",""
"passed","Mon Jun 10 08:51:47 GMT 2024","Mon Jun 10 08:51:47 GMT 2024","160","Auth","Onboarding","Verify OTP","","","Verify OTP - Valid",""
"passed","Mon Jun 10 08:52:14 GMT 2024","Mon Jun 10 08:52:15 GMT 2024","141","Logout","","","","","Signup - Existing User Phone",""
"passed","Mon Jun 10 08:52:10 GMT 2024","Mon Jun 10 08:52:10 GMT 2024","195","Cart And Orders","Fetch Customer Orders","","","","Valid - Fetch Customer Orders",""
"passed","Mon Jun 10 08:52:10 GMT 2024","Mon Jun 10 08:52:10 GMT 2024","133","Cart And Orders","Fetch Customer Orders","","","","No Auth - Fetch Customer Orders",""
"passed","Mon Jun 10 08:51:59 GMT 2024","Mon Jun 10 08:51:59 GMT 2024","162","User","Change Password","","","","Change Password - No oldPassword",""
"passed","Mon Jun 10 08:52:14 GMT 2024","Mon Jun 10 08:52:14 GMT 2024","178","Become a Vendor","","","","","Valid - Become a Vendor",""
"passed","Mon Jun 10 08:52:16 GMT 2024","Mon Jun 10 08:52:16 GMT 2024","136","Reset Password","","","","","Invalid otp - Reset Password",""
"passed","Mon Jun 10 08:52:16 GMT 2024","Mon Jun 10 08:52:16 GMT 2024","418","Reset Password","","","","","Valid - Reset Password",""
"passed","Mon Jun 10 08:51:57 GMT 2024","Mon Jun 10 08:51:57 GMT 2024","169","Vendor","Remove From Favorites","","","","Remove From Favorites Copy",""
"passed","Mon Jun 10 08:51:49 GMT 2024","Mon Jun 10 08:51:49 GMT 2024","141","Auth","","","","","Login With Google",""
"passed","Mon Jun 10 08:52:08 GMT 2024","Mon Jun 10 08:52:08 GMT 2024","177","Cart And Orders","Update Cart","","","","Update Cart - Valid",""
"passed","Mon Jun 10 08:51:54 GMT 2024","Mon Jun 10 08:51:55 GMT 2024","133","Meals","Remove From Favourites","","","","No Auth - Remove From Favorites",""
"passed","Mon Jun 10 08:52:11 GMT 2024","Mon Jun 10 08:52:12 GMT 2024","189","Cart And Orders","Review/rate Order","","","","No rating - Review Order",""
"passed","Mon Jun 10 08:52:15 GMT 2024","Mon Jun 10 08:52:15 GMT 2024","133","Forgot Password","","","","","Invalid Email - Forgot Password",""
"passed","Mon Jun 10 08:52:13 GMT 2024","Mon Jun 10 08:52:13 GMT 2024","131","Delete Address","","","","","Delete Address - No Auth",""
"passed","Mon Jun 10 08:51:53 GMT 2024","Mon Jun 10 08:51:54 GMT 2024","169","Meals","Add to Favourites","","","","Valid - Add to Favorites",""
"passed","Mon Jun 10 08:51:52 GMT 2024","Mon Jun 10 08:51:52 GMT 2024","176","Meals","Fetch Meals","","","","Fetch Meals - By Rating lte",""
"passed","Mon Jun 10 08:51:59 GMT 2024","Mon Jun 10 08:51:59 GMT 2024","163","User","Change Password","","","","Change Password - No password",""
"passed","Mon Jun 10 08:52:06 GMT 2024","Mon Jun 10 08:52:07 GMT 2024","164","Address","Add address","","","","Add address - No Address id",""
"failed","Mon Jun 10 08:52:13 GMT 2024","Mon Jun 10 08:52:14 GMT 2024","154","Delete Address","","","","","Delete Address - Already deleted",""
"failed","Mon Jun 10 08:52:10 GMT 2024","Mon Jun 10 08:52:10 GMT 2024","133","Cart And Orders","Checkout","","","","Checkout - No Auth",""
"passed","Mon Jun 10 08:52:11 GMT 2024","Mon Jun 10 08:52:11 GMT 2024","154","Cart And Orders","Review/rate Order","","","","No vendorOrderId - Review Order",""
"failed","Mon Jun 10 08:51:51 GMT 2024","Mon Jun 10 08:51:51 GMT 2024","148","Meals","Fetch Meals","","","","Fetch Meals - By name",""
"passed","Mon Jun 10 08:52:16 GMT 2024","Mon Jun 10 08:52:16 GMT 2024","141","Reset Password","","","","","Mismatch - Reset Password",""
"passed","Mon Jun 10 08:51:53 GMT 2024","Mon Jun 10 08:51:53 GMT 2024","159","Meals","Fetch Meals by ID","","","","Fetch Meal By ID - No ID",""
"passed","Mon Jun 10 08:52:13 GMT 2024","Mon Jun 10 08:52:13 GMT 2024","156","Delivery Rates and Areas","Fetch Delivery Areas","","","","Fetch Delivery Areas - Valid",""
